,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
154,Cary,North Carolina,"135,234",146.3 ,56.5 ,"1,109","2,873","919, 984","Chatham, Wake",United States,,Caryite,"2,300/sq mi (880/km2)",495 ft (151 m),"168,160,162,320",1750,"April 3, 1871",58.33 sq mi (151.07 km2),Harold Weinbrecht (D),,,UTC-4 (EDT),UTC-5 (EST),,1.09 sq mi (2.82 km2)  1.83%,www.townofcary.org,+24.35%,35°46′51″N 78°48′48″W﻿ ,27518-27519,37-10740[4],,1019552[5],,
155,Springfield,Missouri,"159,498",213.2 ,82.3 ,785,"2,033",417,"Greene, Christian",United States,,,"1,900/sq mi (750/km2)","1,299 ft (396 m)","168,122,167,376",1835,1838,81.72 sq mi (211.65 km2),Ken McClure,"462,369 (US: 115st)",US: 152nd,UTC−5 (CDT),UTC−6 (CST),Council-manager,0.59 sq mi (1.53 km2),www.springfieldmo.gov,+5.41%,37°11′39″N 93°17′29″W﻿ ,,29-70000,,0735864[1],,
156,Fort Collins,Colorado,"143,986",144.5 ,55.8 ,"1,136","2,943",970,,United States,Larimer,,"2,941.67/sq mi (1,135.78/km2)","5,003 ft (1,525 m)","167,830,164,207",,"February 12, 1883[1]",55.82 sq mi (144.58 km2),Wade Troxell,,,UTC−6 (MDT),UTC−7 (MST),Home Rule Municipality[2],1.23 sq mi (3.20 km2)  1.27%,fcgov.com,+16.56%,40°32′54″N 105°03′53″W﻿ ,80521-80528,08-27425,,0204673,,
157,Jackson,Mississippi,"173,514",287.5 ,111.0 ,588,"1,524","601, 769","Hinds, Madison, Rankin",United States,,Jacksonian,"1,503.28/sq mi (580.42/km2)",279 ft (85 m),"164,422,166,965",,1821,111.07 sq mi (287.66 km2),Chokwe Antar Lumumba (D),"576,382 (US: 93rd)",US: 149th,UTC−5 (CDT),UTC−6 (CST),Mayor–Council,2.17 sq mi (5.61 km2),www.jacksonms.gov,−5.24%,32°18′57″N 90°12′46″W﻿ ,,28-36000,,0711543[4],,
158,Alexandria,Virginia,"139,966",38.8 ,15.0 ,"4,010","10,387","571, 703",,United States,Independent city,Alexandrian,"10,716.15/sq mi (4,137.48/km2)",39 ft (12 m),"160,530,160,035",1749,1870,14.93 sq mi (38.68 km2),Justin Wilson (D),,,UTC-4 (EDT),UTC-5 (EST),Council-manager,0.41 sq mi (1.07 km2),www.alexandriava.gov,+14.69%,38°49′12″N 77°05′03″W﻿ ,,51-01000[3],,1492456[4],,
159,Hayward,California,"144,186",117.8 ,45.5 ,"1,349","3,493",510,,United States,Alameda,,"3,490.21/sq mi (1,347.57/km2)",105 ft (32 m),"159,620,158,937",,"March 11, 1876[5]",45.54 sq mi (117.94 km2),Barbara Halliday[6],"7,468,390",3rd in Alameda County37th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,18.29 sq mi (47.36 km2)  28.9%,www.hayward-ca.gov,+10.70%,37°37′43″N 122°06′09″W﻿ ,94540-94557,06-33000,,"277607, 2410724",,
160,Lancaster,California,"156,633",244.2 ,94.3 ,656,"1,698",661,,United States,Los Angeles,,"1,700.06/sq mi (656.41/km2)","2,359 ft (719 m)","159,053,160,316",,"November 22, 1977[1]",94.30 sq mi (244.23 km2),R. Rex Parris[3],,5th in Los Angeles County31st in California,UTC-7 (PDT),UTC-8 (Pacific),Council-manager[2],0.26 sq mi (0.68 km2)  0.29%,www.cityoflancasterca.org,+1.55%,34°41′37″N 118°10′31″W﻿ ,93534-93584,06-40130,,"1652741, 2411620",,Los Angeles International AirportLAX (Major/International)
161,Lakewood,Colorado,"142,980",111.1 ,42.9 ,"1,390","3,599",Both 303 and 720,,United States,Jefferson County[1],,"3,601.25/sq mi (1,390.44/km2)","5,518 ft (1,682 m)","156,798,154,393",1889,1969[2],42.87 sq mi (111.04 km2),Adam Paul,"2,814,330 (US: 19th)",US: 169th,UTC-6 (MDT),UTC-7 (MST),Home Rule Municipality[1],1.18 sq mi (3.06 km2),City of Lakewood,+9.66%,39°41′56″N 105°07′03″W﻿ ,80227-80232,08-43000,,0181620,,
162,Clarksville,Tennessee,"132,929",254.6 ,98.3 ,590,"1,529",931,,United States,Montgomery,,,476 ft (145 m),"156,794,153,205",1785,1807,94.9 sq mi (245.7 km2),Joe Pitts,,US: 173rd,UTC−5 (CDT),UTC−6 (CST),,0.7 sq mi (1.8 km2),cityofclarksville.com,+17.95%,36°33′59″N 87°20′43″W﻿ ,,47-15160[6],,1269467[7],,
163,Palmdale,California,"152,750",274.5 ,106.0 ,573,"1,484",661,,United States,Los Angeles,Palmdalite,"1,486.45/sq mi (573.94/km2)","2,657 ft (810 m)","156,667,157,519",,"August 24, 1962[1]",105.97 sq mi (274.45 km2),,"12,828,837",6th in Los Angeles County33rd in California,UTC−7 (PDT),UTC−8 (Pacific Time Zone),Council-manager[2],0.24 sq mi (0.63 km2)  0.24%,www.cityofpalmdale.org,+2.56%,34°35′28″N 118°06′19″W﻿ ,93550-93599,06-55156,,"1652769, 2411359",,Los Angeles International AirportLAX (Major/International)
164,Salinas,California,"150,441",61.1 ,23.6 ,"2,572","6,662",831,,United States,Monterey,,"6,658.96/sq mi (2,570.99/km2)",52 ft (16 m),"156,259,157,218",,"March 4, 1874[3]",23.61 sq mi (61.15 km2),Joe Gunter[4],,1st in Monterey County34th in California157th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.04 sq mi (0.10 km2)  0.16%,www.cityofsalinas.org,+3.87%,36°41′25″N 121°38′01″W﻿ ,93901-93915,06-64224,,"277589, 2411768",,
165,Springfield,Massachusetts,"153,060",82.6 ,31.9 ,"1,860","4,830",413,,United States,Hampden,Springfieldian[a]Springfielder[13],"4,803/sq mi (1,854.6/km2)",70 ft (21 m),"155,032,155,032",William Pynchon,"May 25, 1852",31.9 sq mi (82.5 km2),Domenic Sarno (D),"692,942","165th, U.S. as of 2017[update] incorporated places estimate",UTC−4 (Eastern),UTC−5 (Eastern),Mayor-council city,1.2 sq mi (3.1 km2),www.springfield-ma.gov,+1.29%,42°06′56″N 72°32′24″W﻿ ,1101-1151,25-67000,,0609092,"Connecticut Colony(1636–1641)Massachusetts Bay Colony (1641–1686, 1689–1691)Dominion of New England (1686–1689)Province of Massachusetts Bay(1691–1776),Kingdom of EnglandKingdom of Great Britain",Bradley International Airport
166,Hollywood,Florida,"140,768",70.7 ,27.3 ,"2,150","5,568","954, 754",,United States,Broward,,"5,573.00/sq mi (2,151.76/km2)",9 ft (3 m),"154,823,153,627","February 18, 1921","November 28, 1925",27.27 sq mi (70.64 km2),Josh Levy,,,UTC−4 (EDT),UTC−5 (EST),Commission-manager,3.45 sq mi (8.94 km2)  11.23%,www.HollywoodFL.org,+9.98%,26°01′52″N 80°09′53″W﻿ ,33004-33316,12-32000[4],,0284176[5],,
167,Pasadena,Texas,"149,043",112.7 ,43.5 ,"1,361","3,525","713, 281, 346, and 832",,United States,Harris,,"3,208/sq mi (1,238.7/km2)",30 ft (9.1 m),"153,219",1893,"December 22, 1923 and December 26, 1928",44.2 sq mi (114.4 km2),Jeff Wagner,"5,628,101",,UTC−5 (CDT),UTC−6 (CST),Mayor-Council,0.4 sq mi (0.9 km2),ci.pasadena.tx.us,+2.80%,29°39′31″N 95°09′02″W﻿ ,77059-77586,48-56000[1],,1343631[2],,
168,Sunnyvale,California,"140,081",57.0 ,22.0 ,"2,681","6,944",408/669 and 650,,United States,Santa Clara,,"6,949.51/sq mi (2,683.18/km2)",125 ft (38 m),"153,185,152,771",,"December 24, 1912[1]",21.98 sq mi (56.94 km2),Larry Klein[2],,2nd in Santa Clara County39th in California,UTC−7 (PDT),UTC−8 (PST),Council-manager[2],0.70 sq mi (1.82 km2)  3.09%,sunnyvale.ca.gov,+9.35%,37°23′09″N 122°01′35″W﻿ ,94085-94090,06-77000,,"1656344, 2412009",,
169,Macon,Georgia,"91,351",645.7 ,249.3 ,236,612,478,,United States,Bibb,Maconites,,116 m (381 ft),"153,095",,,647 km2 (249.96 sq mi),Robert Reichert (D),"228,914 (197th)",,UTC−4 (EDT),UTC−5 (EST),,3.2 km2 (0.5 sq mi),maconbibb.us,+67.59%,32°48′32″N 83°41′39″W﻿ ,31200-31299,13-49000[2],,0332301[3],,
170,Kansas City,Kansas,"145,786",323.2 ,124.8 ,470,"1,216",913,,United States,Wyandotte,,"1,100/sq mi (440/km2)",869 ft (265 m),"152,958,151,709",,"1872, 1886",124.81 sq mi (323.26 km2),David Alvey,,,UTC−5 (CDT),UTC−6 (CST),,3.57 sq mi (9.25 km2),wycokck.org,+4.92%,39°07′21″N 94°44′30″W﻿ ,66115-66160,20-36000[1],,0478635[1],,
171,Pomona,California,"149,058",59.6 ,23.0 ,"2,560","6,630",909,,United States,Los Angeles,,"6,643.75/sq mi (2,565.22/km2)",850 ft (259 m),"152,361,152,494",,"January 6, 1888[2]",22.95 sq mi (59.45 km2),,,7th in Los Angeles County35th in California162nd in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.01 sq mi (0.03 km2)  0.05%,www.ci.pomona.ca.us,+2.22%,34°03′31″N 117°45′40″W﻿ ,91766-91768,06-58072,,"1661247, 2411454",,Ontario International AirportONT (Major/International)
172,Escondido,California,"143,911",96.1 ,37.1 ,"1,578","4,087",442/760,,United States of America,San Diego,,"4,089.91/sq mi (1,579.14/km2)",646 ft (197 m),"152,213,151,613",,"October 8, 1888 (1888-10-08)[1]",37.07 sq mi (96.01 km2),Paul McNamara (D) [2],,4th in San Diego County38th in California,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,0.18 sq mi (0.46 km2)  0.48%,www.escondido.org,+5.77%,33°07′59″N 117°04′26″W﻿ ,92025-92029,06-22804,,"1652706, 2410455",,
173,Killeen,Texas,"127,921",138.6 ,53.5 ,"1,030","2,680",254,,United States,Bell,,"2,400/sq mi (910/km2)",890 ft (270 m),"149,103",,,53.6 sq mi (138.8 km2),,,,UTC-5 (CDT),UTC-6 (Central (CST)),Council-Manager,0.7 sq mi (1.7 km2),www.killeentexas.gov,+16.56%,31°04′40″N 97°43′55″W﻿ ,76540-76549,48-39148[1],,1360642[2],,
174,Naperville,Illinois,"141,853",100.2 ,38.7 ,"1,468","3,802",630 and 331,"DuPage, Will",United States,,Napervillian,"3,804.55/sq mi (1,468.93/km2)",702 ft (214 m),"148,304,147,682",,1857 (Village)1890 (City)[1],38.67 sq mi (100.16 km2),Steve Chirico (R),,,UTC−5 (CDT),UTC−6 (CST),Council–manager,0.57 sq mi (1.47 km2),www.naperville.il.us,+4.55%,41°44′57″N 88°09′43″W﻿ ,,17-51622,,,,
175,Joliet,Illinois,"147,433",166.8 ,64.4 ,889,"2,302","815, 779","Will, Kendall",United States,,Jolietan,"2,301.10/sq mi (888.45/km2)",614 ft (187 m),"148,099,148,462",,1852,64.43 sq mi (166.88 km2),Bob O'Dekirk (R),,324234,UTC-5 (CDT),UTC-6 (CST),Council-manager,0.66 sq mi (1.72 km2),www.cityofjoliet.info,+0.45%,41°31′04″N 88°08′56″W﻿ ,60431-60586,17-38570,,,,
176,Bellevue,Washington,"122,363",86.8 ,33.5 ,"1,630","4,221",425,,United States,King,,"4,316.79/sq mi (1,666.72/km2)",85 ft (26 m),"147,599,144,444",,"March 21, 1953",33.46 sq mi (86.66 km2),John Chelminiak,"3,733,580 (US: 15th)",US: 186th,UTC−7 (PDT),UTC−8 (PST),,0.25 sq mi (0.65 km2),www.bellevuewa.gov,+20.62%,47°35′52″N 122°09′23″W﻿ ,,53-05210,,1512000[4],,
177,Rockford,Illinois,"152,871",164.5 ,63.5 ,898,"2,325","815, 779",,United States,"Winnebago, Ogle",,"2,326.35/sq mi (898.21/km2)",728 ft (222 m),"146,526,147,051",,"1839 (as a town), 1852 (as a city)[1]",63.47 sq mi (164.38 km2),Thomas McNamara (D),"344,623",,UTC−5 (CDT),UTC−6 (CST),,1.01 sq mi (2.63 km2),rockfordil.gov,−4.15%,42°15′32″N 89°03′53″W﻿ ,61112-61126,17-65000,,,,
178,Savannah,Georgia,"136,286",268.3 ,103.6 ,547,"1,417",912,,United States,Chatham,Savannahian,"1,321/sq mi (510.1/km2)",49 ft (15 m),"145,862,146,444",,,103.1 sq mi (267.1 km2),Eddie DeLoach (R),"389,494",,UTC−4 (EDT),UTC−5 (EST),,5.6 sq mi (14.4 km2),savannahga.gov,+7.03%,32°00′09″N 81°09′13″W﻿ ,,13-69000[2],,0322590[3],,
179,Paterson,New Jersey,"146,199",21.8 ,8.4 ,"6,800","17,500",201 and 973[14],,United States,Passaic,,"17,346.3/sq mi (6,697.4/km2)",112 ft (34.1376 m),"145,627,148,678",,"April 11, 1831 (as township),April 14, 1851 (as city)",8.428 sq mi (21.829 km2),Andre Sayegh,,174th in country (as of 2017)[11]3rd of 565 in state1st of 16 in county[12],UTC−4 (Eastern (EDT)),UTC−5 (Eastern (EST)),Faulkner Act Mayor-Council,0.276 sq mi (0.715 km2)  3.17%,www.patersonnj.gov,−0.39%,40°54′53″N 74°09′46″W﻿ ,7522-7543,3403157000[2][15][16],,0885343[2][17],,
180,Torrance,California,"145,438",53.1 ,20.5 ,"2,770","7,180",310/424,,United States,Los Angeles,,"7,187.96/sq mi (2,775.25/km2)",89 ft (27 m),"145,182,147,195",,"May 12, 1921[1]",20.48 sq mi (53.04 km2),,,8th in Los Angeles County39th in California171st in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[2],0.07 sq mi (0.19 km2)  0.37%,www.torranceca.gov,−0.18%,33°50′06″N 118°20′29″W﻿ ,90501-90510,06-80000,,"1652802, 2412087",,Los Angeles International AirportLAX (Major/International)
181,Bridgeport,Connecticut,"144,229",41.7 ,16.1 ,"3,500","9,064",203/475,,United States,Fairfield,,"8,720.9/sq mi (3,354/km2)",3 ft (1 m),"144,900,146,579",,1836,16.0 sq mi (41.4 km2),Joe Ganim (D),"939,904 (US: 57th)",US: 172nd,UTC-4 (Eastern),UTC-5 (Eastern),Mayor-council,3.4 sq mi (8.8 km2),City of Bridgeport,+0.47%,41°11′15″N 73°11′45″W﻿ ,6601-6673,09-08000,,0205720,,Sikorsky Memorial Airport
182,McAllen,Texas,"129,877",151.3 ,58.4 ,940,"2,435",956,,United States,Hidalgo,,"2,994/sq mi (1,155.8/km2)",121.4 ft (37.1 m),"143,433,142,696",,,48.3 sq mi (125.2 km2),,"774,769",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.3 sq mi (0.8 km2),www.mcallen.net,+10.44%,26°13′56″N 98°14′47″W﻿ ,,48-45384[1],,1374829[2],,
183,Mesquite,Texas,"139,824",122.2 ,47.2 ,"1,176","3,045","214, 469, 972","Dallas, Kaufman",United States,,,"3,128/sq mi (1,207.7/km2)",495 ft (151 m),"142,816,143,949",,,46.0 sq mi (119.2 km2),,,,UTC-5 (CDT),UTC-6 (CST),Council-Manager,0.20 sq mi (0.52 km2),cityofmesquite.com,+2.14%,32°45′46″N 96°35′20″W﻿ ,75149-75181,48-47892[1],,1341400[2],,
184,Syracuse,New York,"145,170",64.7 ,25.0 ,"2,214","5,735","315, 680",,United States,Onondaga,Syracusan,"5,724.82/sq mi (2,210.33/km2)",380 ft (116 m),"142,749,143,396",,1847 (city),25.05 sq mi (64.87 km2),Ben Walsh (I),"662,577",,UTC−4 (Eastern Daylight Time),UTC−5 (Eastern),Mayor-Council,0.56 sq mi (1.46 km2)  2.15%,www.syrgov.net,−1.67%,43°02′28″N 76°08′37″W﻿ ,,36-73000,,0966966,,
185,Midland,Texas,"111,147",192.7 ,74.4 ,698,"1,809",432,"Midland, Martin",United States,,Midlander,"1,558.9/sq mi (601.8/km2)","2,782 ft (848 m)","142,344",,,71.3 sq mi (184.7 km2),Jerry Morales[1],"295,987",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.2 sq mi (0.5 km2),midlandtexas.gov,+28.07%,32°01′29″N 102°06′49″W﻿ ,,48-48072[4],,1341547[5],,
186,Pasadena,California,"137,122",59.6 ,23.0 ,"2,385","6,176","323, 626",,United States,Los Angeles,Pasadenan,"6,181.05/sq mi (2,386.56/km2)",863 ft (263 m),"141,371,142,647",,"June 19, 1886[2]",22.98 sq mi (59.52 km2),Terry Tornek[3],,9th in Los Angeles County40th in California185th in the U. S.,UTC−7 (PDT),UTC−8 (Pacific),City council/manager,0.15 sq mi (0.38 km2)  0.68%,www.cityofpasadena.net,+3.10%,34°09′38″N 118°08′23″W﻿ ,91101-91199,06-56000,,"1664804, 2411379",,"Los Angeles International AirportLAX (Major/International),Hollywood Burbank Airport-BUR (Regional) Van Nuys Airport-VNY (Regional) Long Beach Airport-LGB (Regional)"
187,Murfreesboro,Tennessee,"108,755",144.8 ,55.9 ,910,"2,360","615, 629",,United States,Rutherford,,"1,900/sq mi (720/km2)",610 ft (186 m),"141,344,136,372",,1817,58.32 sq mi (151.06 km2),Shane McFarland (R)[2],,US: 205th,UTC−5 (CDT),UTC−6 (CST),Council–Manager[1],0.15 sq mi (0.37 km2)  0.25%,City of Murfreesboro,+29.97%,35°51′08″N 86°24′58″W﻿ ,,47-51560,,1295105[7],,
188,Miramar,Florida,"122,041",76.1 ,29.4 ,"1,818","4,709","754, 954",,United States,Broward,,"4,712.36/sq mi (1,819.42/km2)",9 ft (2 m),"140,823,140,328",,"May 26, 1955",29.38 sq mi (76.10 km2),Wayne M. Messam,"5,762,717 (8th)",190th,UTC-4 (EDT),UTC-5 (EST),Commission-Manager,1.90 sq mi (4.92 km2)  5.66%,www.miramarfl.gov,+15.39%,25°58′37″N 80°20′09″W﻿ ,33023-33029,12-45975[3],,0286974[4],,
189,Dayton,Ohio,"141,527",144.3 ,55.7 ,974,"2,522",937,,United States,Montgomery,,"2,543.2/sq mi (981.9/km2)",738 ft (225 m),"140,640,140,599",1796,,55.65 sq mi (144.13 km2),Nan Whaley (D),"799,232 (US: 71st)",US: 189th,UTC-4 (EDT),UTC-5 (EST),,0.85 sq mi (2.20 km2),daytonohio.gov,−0.63%,39°46′39″N 84°11′59″W﻿ ,45437-45490,39113,,1064514,,
190,Fullerton,California,"135,161",58.0 ,22.4 ,"2,425","6,282","562, 657/714",,United States,Orange,Fullertonian,"6,272.95/sq mi (2,422.01/km2)",164 ft (50 m),"139,640,140,721",,"February 15, 1904[2]",22.43 sq mi (58.10 km2),,,7th in Orange County42nd in California187th in the United States,UTC-7 (PDT),UTC-8 (PST),Council-Manager,0.01 sq mi (0.03 km2)  0.05%,www.ci.fullerton.ca.us,+3.31%,33°53′09″N 117°55′41″W﻿ ,,06-28000,,"1660658, 2410556",,John Wayne International AirportSNA (Major/International)
191,Olathe,Kansas,"125,872",157.7 ,60.9 ,859,"2,225",913,,United States,Johnson,,"2,100/sq mi (800/km2)","1,037 ft (316 m)","139,605,137,472",1857,"1857, 1868 [1]",59.66 sq mi (154.52 km2),Michael Copeland,"2,087,471 (US: 29th)",US: 191st,UTC-5 (CDT),UTC-6 (CST),Mayor–Council,0.76 sq mi (1.97 km2)  1.26%,olatheks.org,+10.91%,38°53′03″N 94°49′10″W﻿ ,66051-66063,20-52575,,479198[5],,
192,Orange,California,"136,416",65.8 ,25.4 ,"2,136","5,532",657/714,,United States,Orange,,"5,542.59/sq mi (2,140.07/km2)",190 ft (58 m),"139,484,140,560",1869,"April 6, 1888[1]",25.36 sq mi (65.68 km2),,,6th in Orange County41st in California(US: 188th),UTC−07:00 (PDT),UTC−08:00 (Pacific),Council–Manager,0.44 sq mi (1.13 km2)  1.75%,cityoforange.org,+2.25%,33°47′13″N 117°51′41″W﻿ ,92856-92869,06-53980,,"1652765, 2411325",,John Wayne International AirportSNA (Major/International)
193,Thornton,Colorado,"118,772",92.5 ,35.7 ,"1,478","3,829",Both 303 and 720,Adams CountyWeld County,United States,,,"3,817.24/sq mi (1,473.85/km2)","5,351 ft (1,631 m)","139,436,136,703",,"June 12, 1956[2]",35.81 sq mi (92.75 km2),Heidi K. Williams (Since 2011),,,UTC−6 (MDT),UTC−7 (MST),Home rule municipality[1],1.07 sq mi (2.77 km2),City of Thornton,+17.40%,39°55′10″N 104°56′34″W﻿ ,80221-80241,08-77290,,0181265,,
194,Roseville,California,"118,788",111.4 ,43.0 ,"1,191","3,085",916,,United States,Placer,,"3,086.23/sq mi (1,191.61/km2)",164 ft (50 m),"139,117,132,683",,"April 10, 1909[1]",42.99 sq mi (111.34 km2),Susan Rohan[2],,1st in Placer County47th in California203rd in United States,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[2],0.00 sq mi (0.00 km2)  0%,www.roseville.ca.us,+17.11%,38°46′08″N 121°19′08″W﻿ ,95661-95747,06-62938,,"1659544, 2411000",,
195,Denton,Texas,"113,383",241.9 ,93.4 ,553,"1,433","940, 817[5]",,United States,Denton,Dentonite,"1,289.1/sq mi (497.7/km2)",642 ft (195 m),"138,541",,1866,87.952 sq mi (227.79 km2),,,,UTC-5 (CST),UTC-6 (CST),Council–manager,1.364 sq mi (3.53 km2)  1.527[4]%,City of Denton,+22.19%,33°13′00″N 97°08′29″W﻿ ,76201-76210,48-19972[6],,1334260[6],,
196,Waco,Texas,"124,805",230.5 ,89.0 ,580,"1,510",254,,United States,McLennan,Wacoan,"1,350/sq mi (521.5/km2)",470 ft (143.3 m),"138,183",,,84.2 sq mi (218.1 km2),,"271,942",,UTC−5 (Central),UTC−6 (Central),Council-manager,11.3 sq mi (29.3 km2)  11.85%,Waco-Texas.com,+10.72%,31°33′36″N 97°11′10″W﻿ ,,48-76000[1],,1370701[2],,
197,Surprise,Arizona,"117,517",279.5 ,107.9 ,470,"1,230",623,,United States of America,Maricopa,,"1,230.19/sq mi (474.98/km2)","1,175 ft (358 m)","138,161,134,085",,,107.85 sq mi (279.33 km2),Skip Hall,"4,489,109 (US: 12th)",US: 215th,,UTC-7 (MST (no DST)),,0.11 sq mi (0.30 km2),http://www.surpriseaz.gov,+17.57%,33°40′14″N 112°27′10″W﻿ ,85374-85374,04-71510,,,,
198,Carrollton,Texas,"119,097",94.0 ,36.3 ,"1,419","3,674",972,"Denton, Dallas, Collin",United States,,,,528 ft (161 m),"136,879",,,36.3 sq mi (94.0 km2),Kevin Falconer,"7,102,800",,UTC-5 (Central),UTC-6 (Central),Council-Manager,0.8 sq mi (2.1 km2)  2.19%,http://www.cityofcarrollton.com,+14.93%,32°59′18″N 96°53′59″W﻿ ,75006-75011,48-13024[2],,1332207[3],,
199,West Valley City,Utah,"129,480",91.9 ,35.5 ,"1,485","3,847","385, 801",,United States,Salt Lake,,,"4,304 ft (1,312 m)","136,401",,,35.4 sq mi (91.7 km2),Ron Bigelow (R),,,UTC−6 (MDT),UTC−7 (Mountain (MST)),,0.1 sq mi (0.1 km2),www.wvc-ut.gov,+5.35%,40°41′19″N 112°00′42″W﻿ ,,49-83470[3],,1437843[4],,
200,Charleston,South Carolina,"120,083",282.3 ,109.0 ,476,"1,233",843 and 854,"Charleston, Berkeley",United States,,Charlestonian,"1,152/sq mi (444.9/km2)",20 ft (6 m),"136,208,134,875",,,109.0 sq mi (282.3 km2),John Tecklenburg (D),,SC: 1st; US: 198th,UTC-4 (EDT),UTC-5 (EST),Mayor–council,18.5 sq mi (47.9 km2)  14.51%,www.charleston-sc.gov,+13.43%,32°49′04″N 79°57′32″W﻿ ,29401-29492,45-13330,,1221516[4],Colony of South Carolina,
201,Warren,Michigan,"134,056",89.1 ,34.4 ,"1,517","3,928",586,,United States,Macomb,,"3,929.63/sq mi (1,517.24/km2)",627 ft (191 m),"134,587,135,022",,1893 (village)1957 (city),34.36 sq mi (88.99 km2),James R. Fouts (I)[1],,(US: 195th),UTC-4 (EDT),UTC-5 (Eastern (EST)),Strong mayor,0.07 sq mi (0.19 km2),Official website,+0.40%,42°29′34″N 83°01′30″W﻿ ,48088-48397,26-84000,,1615781[5],,
202,Hampton,Virginia,"137,436",133.4 ,51.5 ,"1,015","2,629",757,,United States,None (Independent city),,"2,619.71/sq mi (1,011.48/km2)",10 ft (3 m),"134,313,134,669",,1849[1],51.41 sq mi (133.14 km2),Donnie Tuck (D) [2],"1,674,498",,UTC-4 (EDT),UTC-5 (EST),,84.85 sq mi (219.76 km2)  62.3%,http://www.hampton.gov,−2.27%,37°02′53″N 76°17′50″W﻿ ,,51-35000[5],,1495650[6],,
203,Gainesville,Florida,"124,354",161.4 ,62.3 ,815,"2,112",352,,United States,Alachua,,"2,111.50/sq mi (815.25/km2)",151 ft (54 m),"133,857,132,249",,"April 14, 1869",62.32 sq mi (161.41 km2),Lauren Poe (D),"288,212 (168th)",206th,UTC−4 (EDT),UTC−5 (EST),Council-manager,1.17 sq mi (3.02 km2)  1.74%,www.cityofgainesville.org,+7.64%,29°40′44″N 82°20′46″W﻿ ,32601-32653,12-25175,,0282874[9],,
204,Visalia,California,"124,442",97.1 ,37.5 ,"1,349","3,495",559,,United States,Tulare,Visalian,"3,497.73/sq mi (1,350.48/km2)",331 ft (101 m),"133,800,136,246",,"February 27, 1874[1]",37.47 sq mi (97.06 km2),,,,UTC-7 (PDT),UTC-8 (PST),Council-Manager,0.02 sq mi (0.05 km2)  0.05%,www.ci.visalia.ca.us,+7.52%,36°19′38″N 119°19′44″W﻿ ,,06-82954,,"1652807, 2412160",,
205,Coral Springs,Florida,"121,096",61.6 ,23.8 ,"2,110","5,465",754 and 954,,United States of America,Broward,,"5,818.62/sq mi (2,246.56/km2)",13 ft (3 m),"133,507,133,037",,"July 10, 1963",22.86 sq mi (59.22 km2),,,,UTC-4 (EDT),UTC-5 (EST),Commission-Manager,1.12 sq mi (2.91 km2),www.CoralSprings.org,+10.25%,26°16′15″N 80°15′33″W﻿ ,33065-33077,12-14400[5],,0307614[6],,
206,Columbia,South Carolina,"129,272",345.8 ,133.5 ,388,"1,006",803,,United States,"Richland, Lexington",,977.8/sq mi (377.5/km2),292 ft (89 m),"133,451,134,309",,,132.2 sq mi (342 km2),Stephen K. Benjamin (D),,SC: 2nd; US: 199th,UTC-4 (EDT),UTC-5 (Eastern (EST)),,2.7 sq mi (7 km2)  2%,www.columbiasc.net,+3.23%,34°01′45″N 80°53′53″W﻿ ,29201-29229,45-16000,,1245051[1],,
207,Cedar Rapids,Iowa,"126,326",183.4 ,70.8 ,715,"1,852",319,,United States,Linn,,"1,800/sq mi (680/km2)",810 ft (247 m),"133,174,132,228",,1849,70.8 sq mi (183.37 km2),Brad Hart (R),"257,940 (US: 178th)",2nd in Iowa,UTC-5 (CDT),UTC-6 (CST),Home Rule,1.27 sq mi (3.29 km2),cedar-rapids.org,+5.42%,41°58′01″N 91°40′40″W﻿ ,52227-52338,19-12000,,0465941,,
208,Sterling Heights,Michigan,"129,699",94.5 ,36.5 ,"1,401","3,628",586,,United States,Macomb,,"3,640.71/sq mi (1,405.69/km2)",614 ft (187 m),"132,964,132,631",,1968 (city),36.43 sq mi (94.35 km2),Michael C. Taylor,,,UTC−4 (EDT),UTC−5 (Eastern (EST)),Council–manager,0.29 sq mi (0.75 km2),Official website,+2.52%,42°34′52″N 83°01′49″W﻿ ,48310-48314,26-76460[4],,0638798[5],,
209,New Haven,Connecticut,"129,779",48.4 ,18.7 ,"2,683","6,948",203/475,,United States,New Haven,New Havener,"6,500/sq mi (2,500/km2)",59 ft (18 m),"130,418,129,934",,1784,18.7 sq mi (48.4 km2),Toni Harp (D),"862,477",,UTC−4 (Eastern),UTC−5 (Eastern),Mayor–board of aldermen,1.4 sq mi (3.7 km2),www.newhavenct.gov,+0.49%,41°18′39″N 72°55′30″W﻿ ,6501-6540,09-52000,,0209231,,Tweed New Haven Airport
